nr,type,value,idvisit
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2783
2,url,https://hans.th-nuernberg.de/video-player?uuid=1c165034-681f-483a-8fe2-a315b1b29559&evalId=none&role=everybody,2784
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2785
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2786
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2787
2,url,NA,2788
2,url,https://hans.th-nuernberg.de/login?evalId=none&role=undefined,2789
2,url,NA,2790
2,url,NA,2791
2,url,NA,2792
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbee55f1-a3c2-4b4e-875c-6d2df898f661&evalId=none&role=everybody,2793
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2794
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2795
2,url,NA,2796
2,url,NA,2797
2,url,NA,2798
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2799
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2800
2,url,NA,2801
2,url,https://hans.th-nuernberg.de/video-player?uuid=bd2cd185-5297-48e6-9399-d41c36d16d95&evalId=none&role=everybody,2802
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2803
2,url,NA,2804
2,url,https://hans.th-nuernberg.de/video-player?uuid=e92f5395-f02a-4566-94a0-d02ded54c18a&evalId=none&role=everybody,2805
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2806
2,url,NA,2807
2,url,https://hans.th-nuernberg.de/video-player?uuid=e92f5395-f02a-4566-94a0-d02ded54c18a&evalId=none&role=everybody,2808
2,url,NA,2809
2,url,https://hans.th-nuernberg.de/video-player?uuid=ca1dc850-6545-4680-a03c-44f4d3762f74&evalId=none&role=everybody,2810
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbee55f1-a3c2-4b4e-875c-6d2df898f661&evalId=none&role=everybody,2811
2,url,NA,2812
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2813
2,url,https://hans.th-nuernberg.de/video-player?uuid=606fe512-874b-4540-b571-8d7c003837fa&evalId=none&role=everybody,2814
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbee55f1-a3c2-4b4e-875c-6d2df898f661&evalId=none&role=everybody,2815
